Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
Can you tell me what payment options are available 	I do not know what payment options are available 	A1V0HI6X82DUY4
Is the amount of meal allowances and supper money provided to an employee taxable income to him or her 	I do not know if the amount of meal allowances and supper money provided to an employee is taxable income to him or her 	A8O98QNRG9SHV
What do I need to bring to be able to check-in 	I do not know what you need to bring to be able to check-in 	A2HKTM4Z8652
How should I submit my application 	I do not know how you should submit your application 	A11TABPKSVOOFT
Is it safe to complete purchases online	I do not know if it is safe to complete purchases online 	A1JBSFXMMRGSQD
When can I expect my refund to be posted to my credit card 	I do not know when youc an expect your refund to be posted to your credit card 	A31A4YKVSOYRVS	
Can you get a price quote on new car insurance 	I am not able to give you a price quote on new car insurance 	AE9M4Z1NCYSDM	
Can I pause my subscription for a month or more 	I do not know if you can pause your subscription for a month or more 	AE9M4Z1NCYSDM	
What are the payment terms -LRB- due date -RRB- for IBM invoices 	I do not know the payment terms for IBM invoices	A1AOIAN2NN7QY9
Do you have lockers available for Rent	I do not know if we have lockers available for rent 	A13GUTDMGGZZDL
What do I do with luggage and large bags during the tour 	I do not know what you do with luggage or large bags during the tour 	A2K2MFQMN31DZ
Can I change my tickets after purchasing them 	I do not know if you can change your tickets after purchasing them 	AJ7E01X4TAGHL
When can I check-in and check-out 	I do not know when you can check-in or check-out 	A5VBIZ2KIQ1R8
I got an email saying that my payment method ca n't be verified 	I do not know if your payment method can be verified 	AD9O852KPYLHY	
What can I do to get approved for a loan 	I do not know what you can do to get approved for a loan 	ASFR82SJYMGNU
What are the benefits of membership 	I am not able to explain the benefits of membership	A3NZLRU95OULXB
How can I change the credit card that 's being used on my account 	I am not able to change the credit card used on your account 	AE9M4Z1NCYSDM	
Will I have to pay a restocking fee 	I do not know if you will have to pay a restocking fee	A23CTGXNDDW5LC
Do you offer payment plans 	I do not know if we offer payment plans 	A7SXWHGK8B40R
What happens once I 've used the 15 GB limit for Mobile Hotspot or Jetpack 	I do not know what happens once you have used up the 15 GB limit for Mobile Hotspot or Jetpack	AXY0D2AMLKE2A
What is the cheapest package you offer 	I do not know the cheapest package that we offer 	A3B1H161LQLAYP	
What should I do if I forget my MileagePlus password 	I do not know what you should do if you forget your MileagePlus password 	A2HKTM4Z8652
When will we see some new products coming in 	I am not able to tell you when there will be new products	APF1EAZT104LQ
Who should I contact about Veterans Affairs -LRB- VA -RRB- Benefits 	I do not know who you should contact about Veterans Affairs -LRB- VA -RRB- Benefits	A23CTGXNDDW5LC
Where is the National Park 	I do not know where the National Park is 	A1JBSFXMMRGSQD
Do you offer assembly of the pool table 	I do not know if we offer assembly of the pool table 	A3GNQDFPZALU92	
I do n't have any children but I am a kid at heart , can I come and enjoy the museum 	I do not know if you can come and enjoy the museum 	A3NZLRU95OULXB
Is there parking at the museum 	I do not know if there is parking at the museum 	A16VTK6KZ1U69H
How much does it cost to add my son to our insurance plan 	I do not know how much it cost to add your son to your insurance plan 	AD9O852KPYLHY	
Does Vanderbilt offer study abroad 	I do not know if Vanderbilt offers study abroad 	A598UDLZZZAJ3
My bank account has been charged twice for my monthly subscription , can you help me resolve this 	I am not able to help you resolve this 	A8F4B0854KTXO	
It 's been a week and it seems like the order has n't shipped yet . When can I expect it to ship 	I do not know when your order will ship 	A211IP73OBSU2D
Will I receive a confirmation of my order 	I do not know if you will receive a confirmation order 	A3722NOMVUK89T
What if I also have a child at Camp Joey 	I do not know what happens if you also have a child at Camp Joey 	A32Y2DA2CW8YWN
Do Members Get Special Rates To Events 	I do not know if members get special rates to events 	A13GUTDMGGZZDL
I need help with my cart	I am not able to help with your cart 	A2TKHXY755FAM
What 's the least busy time to visit ZooLights 	I do not know the least busy time to visit ZooLights 	A2115OWJ0CKOB3
What is Heart of Brooklyn 	I do not know what Heart of Brooklyn is 	A2K2MFQMN31DZ
Can I watch a game that I 'm not playing in 	I do not know if you can watch a game you 're not playing in 	A2L0QFWMJU0AXB
Can I buy a 50 pound block of shrimp	I do not know if you can buy a 50 pound block of shrimp 	A8F4B0854KTXO	
Must an employer provide ALL the directions for Form I-9 to new hires 	I do not know if an employer must provide ALL the directions for Form I-9 to new hires 	A2VIKCIM9TZL22
How is an offer of COBRA continuation coverage reported under Sections 6055 and 6056 	I do not know how an offer of COBRA continuation coverage is reported under sections 6055 and 6056 	A2TP3K1THK6XRB
When does an employer have to provide the Summary of Benefits and Coverage -LRB- SBC -RRB- to employees 	I do not know when an employer has to provide the Summary of Benefits and Coverage -LRB- SBC -RRB- to employees 	A3RD486RQUI2XV
Am I allowed to serve alcohol at my event 	I do not know if you are allowed to serve alcohol at your event 	A2NI2HSU84PHJW
Can I take the ' boneyard ' / AMARG tour on Saturday , Sunday , or on Federal Holidays	I do not know if you can take the ' boneyard ' / amarg tour on the weekend or federal holidays 	A2VFX3J4B1I22X
How soon will my power be back on 	I do not know how soon your power will be back on 	A3U6CLX7HD0SMF	
Will I be spied on/will the guides try and brainwash me 	I do not know if you will be spied on or if the guides will try and brainwash you 	APC99TPURUHR8
Can the HUBZone office expedite my application 	I do not know fi the HUBZone office can expedite your application 	A1J0GU26323WVA
How much does it cost to upgrade my shipping 	I do not know how much it costs to upgrade your shipping 	A9LX66EQWDRQ5	
Do you offer overnight delivery for my order 	I do not know if we offer overnight delivery for your order 	A9LX66EQWDRQ5	
I need this year 's copy of the catalog 	I am not able to get you a copy of this year 's catalog 	A2PKDWREQV1JTR
I have an object . How do I find out how much it 's worth 	I do not know how you can find out how much it 's worth 	A7SXWHGK8B40R
What if my recommendation letter arrives after the deadline 	I do not know what happens if your recommendation letter arrives after the deadline 	A2K9PB0U45O0MU
I would like to compliment the rep that spoke to me on my last order 	I am not able to compliment the rep that spoke to you on your last order 	A3RD486RQUI2XV
Do I have to pay admission to the Getty Center 	I do not know if you have to pay admission the the Getty Center 	A2VIKCIM9TZL22
What types of degree do French universities offer 	I do not know what types of degrees French universities offer 	A2NI2HSU84PHJW
Who can I speak with about donating items or animals to the Museum 	I do not know who you can speak with about donating items or animals to the Museum 	A3MBQX8F0IZO7S
I just renewed my membership . What are my benefits now 	I do not know what your benefits are now	A23CTGXNDDW5LC
Do I have to pay to visit the CORVETTE STORE -LRB- GIFT Shop -RRB-	I do not know if you have to pay to visit the corevette store -LRB- gift shop -RRB- 	A1J0GU26323WVA
How would your curriculum for a machine learning beginner look like 	I do not know what the curriculum for a machine learning beginner looks like 	A8O98QNRG9SHV
I recently moved , do I need to change my address with Benefits for my insurance 	I do not know if you need to change your address with benefits for your insurance 	A2NI2HSU84PHJW
Hello , May I speak to someone in customer service 	I am not able to let you speak to someone in customer service	APF1EAZT104LQ
What happens if I am selected for the position 	I do not know what happens if you are selected for the position 	A2HKTM4Z8652
Why am I being charged $ 50 a month when I was told it would be $ 45 a month 	I do not know why you are being charged 	A325WS381BHOHH	
What do I do if a class is full 	I do not know what you do if a class is full 	AFS36YMNN8A2J
How do Obamacare subsidies work 	I do not know how Obamacare subsidies work 	A1IMICF9ISISZN
How many days does it take to process my membership 	I do not know how many days it will take to process your membership 	A2223XYV804AY7
How do I view the approver chain for my department 	I do not know how you can view the approver chain for your department 	A1XNCA1SVTT15B
What can my employer see on my phone/tablet when MobileIron is installed 	I do not know what your employer can see on your phone/tablet when MobileIron is installed 	A1J0GU26323WVA
What is the cost for adult supervisors 	I do not know the cost for adult supervisors 	A3RD486RQUI2XV
Can I get an update on the status of my application 	I am not able to update you on the status of your application 	A3G2FBKYCRD5Q8
What do I do if my mailing address has changed since I submitted my application 	I do not know what you should do if your mailing address has changed since you submitted your application 	AZLZA0Q87TJZO
Can you help check on my order 	I am not able to check on your order 	AJKA9BKC011F2
