It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
Can I get something discreetly shipped to a new address 	I am not able to have something discreetly shipped to a new address 	A185P3B2MC2K83
Is it possible to get extra supplies just in case 	I do not know if it is possible to get extra supplies 	A185P3B2MC2K83
can i cancel an order if it has not yet shipped	I do not know if I can cancel an order before it ships 	AJNQ2PBD07FKE
What is the column 1/column 2 correct coding edit table 	I do not know what the column 1/column 2 correct coding edit table is 	A1JBSFXMMRGSQD
What are your specials today 	I do not know what our specials today are 	A31A4YKVSOYRVS	
How long does it take to experience World of Coca‑Cola 	I do not know how long it takes to experience World of Coca‑Cola 	A3RD486RQUI2XV
Am I able to get free shipping on any of these items 	I do not know if you are able to get free shipping on any of those items 	A9LX66EQWDRQ5	
Can I add a gift message to an online order 	I do not know I you can add a g ift to your online order 	A19F9CLZ0XWBYR	
How long is the wait list 	I do not know how long the wait list is 	A3GNQDFPZALU92	
What is ' preferred parking ' and do members park there for Free	I do not know what preferred parking is , and I do not know if members get to park there for free 	A2VIKCIM9TZL22
What is a Secret Question in My Verizon 	I do not know what a Secret Question in My Verizon is 	A16VTK6KZ1U69H
What types of vehicles can my specialty plate be issued to 	I do not know what types of vehicles your specialty plate can be issued to	A23CTGXNDDW5LC
Can I take pictures inside The Museum at Bethel Woods 	I do not know if you can take pictures inside the museum at Bethel Woods 	A2NI2HSU84PHJW
Are there fees charged in addition to the listed package prices	I do not know if there are fees charged in addition to the listed package prices 	A2NI2HSU84PHJW
Can I apply for your store credit card if I do not have any previous credit history 	I do not know if you can apply for our store credit card if you do not have any previous credit history	3PKVGQTFIHCA1O14I7ZBVR8EJTTRYD
Do the new Department of Labor -LRB- DOL -RRB- overtime rules change how an employer may use bonuses to satisfy the salary level threshold for a highly compensated employee -LRB- HCE -RRB- 	I do not know if the new Department of Labor -LRB- DOL -RRB- overtime rules change how an employer may use bonuses to satisfy the salary level threshold for a highly compensated employee -LRB- HCE -RRB- 	A1A0PNOBFTTHGP
Can I exchange this for a smaller size 	I am not able to exchange it for a smaller size 	AJNQ2PBD07FKE
Can I use a tourist or business visa if the actual purpose of my visit is different 	I do not know if you can use a tourist or business visa if the purpose of the visit is different 	A2115OWJ0CKOB3
How do I find contact information for Harvard students , faculty , and staff 	I do not know how you find contact information for Harvard students , faculty , and staff 	AZLZA0Q87TJZO
How do I get a refund for a damaged item 	I do not know how you get a refund for a damaged item 	A31A4YKVSOYRVS	
Can you tell me if there is any way I can save some money on my monthly services 	I am not able to tell you if there is any way you can save some money on your monthly services	A23CTGXNDDW5LC	
What courses do you offer 	I do not know what courses we offer 	A1JBSFXMMRGSQD
Who is eligible for an FY2018 merit increase 	I do not know who is eligible 	A1XNCA1SVTT15B
I would like to use PayPal to complete my checkout 	I do not know if you can use PayPal to complete your checkout 	APF1EAZT104LQ
Can you tell me the motor wattage on that 	I am not able to tell you the motor wattage on that	32LAQ1JNT9H60UURCV7HSL3JBQFUTV
Can I cover my domestic partner and his/her child or children 	I do not know if you can cover your domestic partner and his/her child or childern 	A3I9FTHSULHPYS
Is shipping to a military address possible 	I do not know if shipping to a military address is possible 	AJQGWGESKQT4Y
How does one prepare a package for pick up ? Are there any special steps I need to take 	I do not know the steps for preparing a package for pickup 	3A9LA2FRWS68CPXRH61FY9ZZUE1XHG
I ordered an item but now I received an email saying the item is out of stock 	I do not know why you received an email saying the item is out of stock	AYJGJAIY0EXW
Why does the Museum ask visitors not to touch the art 	I do not know why the Museum asks visitors not to touch the art 	A1J0GU26323WVA
How long does it take to see everything in the museum 	I do not know how long it takes 	A13GUTDMGGZZDL
Can I pause my subscription for a month or more 	I do not know if you can pause your subscription for a month or more 	AE9M4Z1NCYSDM	
May I bring a stroller 	I do not know if you may bring a stroller	A23CTGXNDDW5LC
Where can I chat with customer service 	I do not know where you can chat with customer service 	A260AFDCSXBQOH
Can I visit the store or the cafe without buying an admission ticket 	I do not know if you can visit the store or the cafe without buying an admission ticket 	A1X3SF2W1QQBY1
Can you email me a list of items eligible for international shipping 	I am not able to email a list of items eligible for international shipping 	AJQGWGESKQT4Y
I forgot my password and email but I know I had an account with you guys , can you help me figure it out 	I am not able to help you figure it out if you forgot your password and email but you know you had an account with us 	A3GNQDFPZALU92	
Could you tell me if I 'm running the latest software 	I am not able to tell you if you 're running the latest software 	A1GAARR4GOOZCO	
How do I upgrade my subscription to the new one 	I do not know how you upgrade your subscription to the new one 	A1GAARR4GOOZCO	
What insurance plans are available to me 	I do not know what insurance plans are available to you 	ASFR82SJYMGNU
Can I get my package insured 	I do not know if you can get your package insured 	A325WS381BHOHH	
Is there an ATM	I do not know if there is an ATM 	A1JBSFXMMRGSQD
How can I volunteer at the Museum 	I do not know how you can volunteer at the museum	A23CTGXNDDW5LC
Can I add a car seat to my rental 	I am not able to add a car seat to your rental 	AD9O852KPYLHY	
Are employers required to have written job descriptions under the Americans with Disabilities Act -LRB- ADA -RRB- 	I do not know if employers are required to have written job descriptions under the Americans with Disabilities Act -LRB- ADA -RRB- 	A2NI2HSU84PHJW
How often do the sacs need to be emptied 	I do not know if the sacs need to be emptied 	A2UBEPT605E8T2
What forms must an employer file to report a wage overpayment that is recouped in a subsequent calendar year 	I do not know what forms you must file to report a recouped wage repayment 	A2115OWJ0CKOB3
How far in advance do I need to reserve my party date and time 	I do not know how far in advance you need to reserve your party date and time 	A1X3SF2W1QQBY1
Can I get extra cherries on my whipped cream 	I do not know if you can get extra cherries on your whipped cream 	ASFR82SJYMGNU
Is there a physical catalog that can be mailed to me 	I do not know if there is a physical catalog that can be mailed to you	A23CTGXNDDW5LC
Can you terminate an employee during introductory period for any reason 	I do not know if an employee can be terminated during the introductory period for any reason 	A234VIHHUHPZG5
If I keep my group/family rate plan when I move to AT&T , can I still add lines of service later 	I do not know if you can still add lines of service if you keep your group/family rate plane when you move to AT&T 	A2115OWJ0CKOB3
If a mother and adult daughter with children living in the same household want to purchase a membership , what category should they purchase	I do not know what category of memberhip a mother and adult daughter with children living in the same household should purchase 	A1AF392CLGHH0X
Am I able to check in early	I do not know if you are able to check in early 	A1JBSFXMMRGSQD
How many Unions do we have on campus 	I am not able to tell you how many unions are on campus	APF1EAZT104LQ
How can I purchase Museum merchandise 	I do not know how you can purchase Museum merchandise 	AZLZA0Q87TJZO
Can each family member have a different Primary Care Physician -LRB- PCP -RRB- 	I do not know if each family member can have a different Primary Care Physician 	A2NI2HSU84PHJW
Will the College of Veterinary Medicine have a teaching hospital that will treat my pet for lower cost 	I do not know if they will have a teaching hospital that will treat your pet 	A13GUTDMGGZZDL
Do you use the answers to my security questions for marketing purposes 	I do not know if we use the answers to your security questions for marketing purposes 	A3R71HP45TBQ7O
Q -- How can I get to the Museum	I do not know how to get to the museum 	A16VTK6KZ1U69H
What if I miss a class and I have a monthly package or class package	I do not know what happens to your monthly or class packet if you miss a class 	A1F46RJTOXQM4J
What is MobileIron Insight 	I do not know what MobileIron Insight is 	APC99TPURUHR8
What are the objectives of the Awards and Recognition Programs 	I do not know The objectives of the Awards and Recognition Programs	ATQD23E8ESFSI
